Time(seconds),Bus Name,Signal Name,Data
3.926854000,Async 5,Digital 6,00
3.926941000,Async 5,Digital 6,00
3.927027000,Async 5,Digital 6,00
3.927114000,Async 5,Digital 6,00
3.927201000,Async 5,Digital 6,00
3.927287000,Async 5,Digital 6,00
3.927374000,Async 5,Digital 6,00
3.927461000,Async 5,Digital 6,00
3.927548000,Async 5,Digital 6,00
3.927634000,Async 5,Digital 6,00
3.927721000,Async 5,Digital 6,00
3.927808000,Async 5,Digital 6,00
3.927894000,Async 5,Digital 6,00
3.927981000,Async 5,Digital 6,00
3.928068000,Async 5,Digital 6,00
3.928155000,Async 5,Digital 6,00
3.928241000,Async 5,Digital 6,00
3.928328000,Async 5,Digital 6,00
3.928415000,Async 5,Digital 6,00
3.928501000,Async 5,Digital 6,00
3.928588000,Async 5,Digital 6,00
3.928675000,Async 5,Digital 6,00
3.928761000,Async 5,Digital 6,00
3.928848000,Async 5,Digital 6,00
3.928935000,Async 5,Digital 6,00
3.929022000,Async 5,Digital 6,00
3.929108000,Async 5,Digital 6,00
3.929195000,Async 5,Digital 6,00
3.929282000,Async 5,Digital 6,00
3.929368000,Async 5,Digital 6,00
3.929455000,Async 5,Digital 6,00
3.929542000,Async 5,Digital 6,00
3.929629000,Async 5,Digital 6,00
3.929715000,Async 5,Digital 6,00
3.929802000,Async 5,Digital 6,00
3.929889000,Async 5,Digital 6,00
3.929975000,Async 5,Digital 6,00
3.930062000,Async 5,Digital 6,00
3.930149000,Async 5,Digital 6,00
3.930236000,Async 5,Digital 6,00
3.930322000,Async 5,Digital 6,00
3.930409000,Async 5,Digital 6,00
3.930496000,Async 5,Digital 6,00
3.930582000,Async 5,Digital 6,00
3.930669000,Async 5,Digital 6,00
3.930756000,Async 5,Digital 6,00
3.930843000,Async 5,Digital 6,00
3.930929000,Async 5,Digital 6,00
3.931016000,Async 5,Digital 6,00
3.931103000,Async 5,Digital 6,00
3.931189000,Async 5,Digital 6,00
3.931276000,Async 5,Digital 6,00
3.931363000,Async 5,Digital 6,00
3.931450000,Async 5,Digital 6,00
3.931536000,Async 5,Digital 6,00
3.931623000,Async 5,Digital 6,00
3.931710000,Async 5,Digital 6,00
3.931796000,Async 5,Digital 6,00
3.931883000,Async 5,Digital 6,00
3.931970000,Async 5,Digital 6,00
3.932057000,Async 5,Digital 6,00
3.932143000,Async 5,Digital 6,00
3.932230000,Async 5,Digital 6,00
3.932317000,Async 5,Digital 6,00
3.932403000,Async 5,Digital 6,00
3.932490000,Async 5,Digital 6,00
3.932577000,Async 5,Digital 6,00
3.932663000,Async 5,Digital 6,00
3.932750000,Async 5,Digital 6,00
3.932837000,Async 5,Digital 6,00
3.932924000,Async 5,Digital 6,00
3.933010000,Async 5,Digital 6,00
3.933097000,Async 5,Digital 6,00
3.933184000,Async 5,Digital 6,00
3.933270000,Async 5,Digital 6,00
3.933357000,Async 5,Digital 6,00
3.933444000,Async 5,Digital 6,00
3.933531000,Async 5,Digital 6,00
3.933617000,Async 5,Digital 6,00
3.933704000,Async 5,Digital 6,00
3.933791000,Async 5,Digital 6,00
3.933877000,Async 5,Digital 6,00
3.933964000,Async 5,Digital 6,00
3.934051000,Async 5,Digital 6,00
