Time(seconds),Bus Name,Signal Name,Data
1.779514000,Async 3,Digital 3,00
1.779600750,Async 3,Digital 3,00
1.779687500,Async 3,Digital 3,00
1.779774250,Async 3,Digital 3,00
1.779948750,Async 3,Digital 4,01
1.779965000,Async 3,Digital 3,04
1.780035750,Async 3,Digital 4,09
1.780051500,Async 3,Digital 3,0F
1.780122500,Async 3,Digital 4,10
1.780138250,Async 3,Digital 3,04
1.780209500,Async 3,Digital 4,00
1.780225000,Async 3,Digital 3,00
1.780311750,Async 3,Digital 3,01
1.780398500,Async 3,Digital 3,00
1.780485250,Async 3,Digital 3,00
1.780754000,Async 3,Digital 3,04
1.780840750,Async 3,Digital 3,0E
1.780927500,Async 3,Digital 3,0A
1.781014000,Async 3,Digital 3,01
1.781100750,Async 3,Digital 3,09
1.781187500,Async 3,Digital 3,10
1.781274250,Async 3,Digital 3,00
1.781361000,Async 3,Digital 3,46
1.781447750,Async 3,Digital 3,4F
1.781534250,Async 3,Digital 3,45
1.781621000,Async 3,Digital 3,B8
1.781707750,Async 3,Digital 3,64
1.781794500,Async 3,Digital 3,DC
1.781972750,Async 3,Digital 4,01
1.782059750,Async 3,Digital 4,05
1.782146750,Async 3,Digital 4,10
1.782233500,Async 3,Digital 4,00
1.782739750,Async 3,Digital 3,04
1.782826250,Async 3,Digital 3,0E
1.782913000,Async 3,Digital 3,0B
1.782999750,Async 3,Digital 3,01
1.783086500,Async 3,Digital 3,05
1.783173250,Async 3,Digital 3,10
1.783260000,Async 3,Digital 3,00
1.783346750,Async 3,Digital 3,36
1.783433250,Async 3,Digital 3,01
1.783520000,Async 3,Digital 3,40
1.783606750,Async 3,Digital 3,0A
1.783693500,Async 3,Digital 3,00
1.783780250,Async 3,Digital 3,08
1.783867000,Async 3,Digital 3,00
1.784563250,Async 3,Digital 4,01
1.784650250,Async 3,Digital 4,03
1.784737250,Async 3,Digital 4,10
1.784824250,Async 3,Digital 4,00
1.785323750,Async 3,Digital 3,04
1.785410250,Async 3,Digital 3,0E
1.785497000,Async 3,Digital 3,0C
1.785583750,Async 3,Digital 3,01
1.785670500,Async 3,Digital 3,03
1.785757250,Async 3,Digital 3,10
1.785844000,Async 3,Digital 3,00
1.785930500,Async 3,Digital 3,FF
1.786017250,Async 3,Digital 3,FF
1.786104000,Async 3,Digital 3,8F
1.786190750,Async 3,Digital 3,FE
1.786277500,Async 3,Digital 3,DB
1.786364250,Async 3,Digital 3,FF
1.786451000,Async 3,Digital 3,5B
1.786537500,Async 3,Digital 3,87
1.786743250,Async 3,Digital 4,01
1.786830250,Async 3,Digital 4,01
1.786917250,Async 3,Digital 4,0C
1.787004250,Async 3,Digital 4,08
1.787091000,Async 3,Digital 4,FF
1.787178000,Async 3,Digital 4,FF
1.787265000,Async 3,Digital 4,FF
1.787351750,Async 3,Digital 4,FF
1.787438750,Async 3,Digital 4,FF
1.787525750,Async 3,Digital 4,FF
1.787612750,Async 3,Digital 4,FF
1.787699500,Async 3,Digital 4,3F
1.788167750,Async 3,Digital 3,04
1.788254500,Async 3,Digital 3,0E
1.788341250,Async 3,Digital 3,04
1.788428000,Async 3,Digital 3,01
1.788514500,Async 3,Digital 3,01
1.788601250,Async 3,Digital 3,0C
1.788688000,Async 3,Digital 3,00
1.788875000,Async 3,Digital 4,01
1.788961750,Async 3,Digital 4,18
1.789048750,Async 3,Digital 4,0C
1.789135750,Async 3,Digital 4,02
1.789222500,Async 3,Digital 4,00
1.789309500,Async 3,Digital 4,20
1.790630250,Async 3,Digital 3,04
1.790717000,Async 3,Digital 3,0E
1.790803750,Async 3,Digital 3,04
1.790890500,Async 3,Digital 3,01
1.790977250,Async 3,Digital 3,18
1.791064000,Async 3,Digital 3,0C
1.791150500,Async 3,Digital 3,00
1.791329750,Async 3,Digital 4,01
1.791416750,Async 3,Digital 4,24
1.791503500,Async 3,Digital 4,0C
1.791590750,Async 3,Digital 4,03
1.791677500,Async 3,Digital 4,04
1.791764750,Async 3,Digital 4,04
1.791851500,Async 3,Digital 4,24
1.792312500,Async 3,Digital 3,04
1.792399250,Async 3,Digital 3,0E
1.792486000,Async 3,Digital 3,04
1.792572750,Async 3,Digital 3,01
1.792659500,Async 3,Digital 3,24
1.792746000,Async 3,Digital 3,0C
1.792832750,Async 3,Digital 3,00
1.793124750,Async 3,Digital 4,01
1.793211750,Async 3,Digital 4,13
1.793298500,Async 3,Digital 4,0C
1.793385500,Async 3,Digital 4,F8
1.793472250,Async 3,Digital 4,49
1.793559250,Async 3,Digital 4,50
1.793646250,Async 3,Digital 4,4F
1.793733000,Async 3,Digital 4,53
1.793820000,Async 3,Digital 4,30
1.793907000,Async 3,Digital 4,31
1.793994000,Async 3,Digital 4,38
1.794080750,Async 3,Digital 4,38
1.794167750,Async 3,Digital 4,33
1.794254750,Async 3,Digital 4,36
1.794341500,Async 3,Digital 4,33
1.794428500,Async 3,Digital 4,34
1.794515500,Async 3,Digital 4,00
1.794602500,Async 3,Digital 4,00
1.794689500,Async 3,Digital 4,00
1.794776250,Async 3,Digital 4,00
1.794863250,Async 3,Digital 4,00
1.794950250,Async 3,Digital 4,00
1.795037250,Async 3,Digital 4,00
1.795124000,Async 3,Digital 4,00
1.795211000,Async 3,Digital 4,00
1.795298000,Async 3,Digital 4,00
1.795385000,Async 3,Digital 4,00
1.795472000,Async 3,Digital 4,00
1.795558750,Async 3,Digital 4,00
1.795645750,Async 3,Digital 4,00
1.795732750,Async 3,Digital 4,00
1.795819500,Async 3,Digital 4,00
1.795906500,Async 3,Digital 4,00
1.795993500,Async 3,Digital 4,00
1.796080500,Async 3,Digital 4,00
1.796167250,Async 3,Digital 4,00
1.796254250,Async 3,Digital 4,00
1.796341000,Async 3,Digital 4,00
1.796428000,Async 3,Digital 4,00
1.796515000,Async 3,Digital 4,00
1.796602000,Async 3,Digital 4,00
1.796689000,Async 3,Digital 4,00
1.796775750,Async 3,Digital 4,00
1.796862750,Async 3,Digital 4,00
1.796949750,Async 3,Digital 4,00
1.797036500,Async 3,Digital 4,00
1.797123500,Async 3,Digital 4,00
1.797210500,Async 3,Digital 4,00
1.797297250,Async 3,Digital 4,00
1.797384250,Async 3,Digital 4,00
1.797471250,Async 3,Digital 4,00
1.797558250,Async 3,Digital 4,00
1.797645250,Async 3,Digital 4,00
1.797732000,Async 3,Digital 4,00
1.797819000,Async 3,Digital 4,00
1.797906000,Async 3,Digital 4,00
1.797992750,Async 3,Digital 4,00
1.798079750,Async 3,Digital 4,00
1.798166750,Async 3,Digital 4,00
1.798253500,Async 3,Digital 4,00
1.798340500,Async 3,Digital 4,00
1.798427500,Async 3,Digital 4,00
1.798514500,Async 3,Digital 4,00
1.798601500,Async 3,Digital 4,00
1.798688250,Async 3,Digital 4,00
1.798775250,Async 3,Digital 4,00
1.798862250,Async 3,Digital 4,00
1.798949000,Async 3,Digital 4,00
1.799036000,Async 3,Digital 4,00
1.799123000,Async 3,Digital 4,00
1.799209750,Async 3,Digital 4,00
1.799296750,Async 3,Digital 4,00
1.799383750,Async 3,Digital 4,00
1.799470750,Async 3,Digital 4,00
1.799557500,Async 3,Digital 4,00
1.799644500,Async 3,Digital 4,00
1.799731500,Async 3,Digital 4,00
1.799818500,Async 3,Digital 4,00
1.799905250,Async 3,Digital 4,00
1.799994000,Async 3,Digital 4,00
1.800081000,Async 3,Digital 4,00
1.800168000,Async 3,Digital 4,00
1.800254750,Async 3,Digital 4,00
1.800341750,Async 3,Digital 4,00
1.800428750,Async 3,Digital 4,00
1.800515750,Async 3,Digital 4,00
1.800602750,Async 3,Digital 4,00
1.800689500,Async 3,Digital 4,00
1.800776500,Async 3,Digital 4,00
1.800863500,Async 3,Digital 4,00
1.800950500,Async 3,Digital 4,00
1.801037250,Async 3,Digital 4,00
1.801124250,Async 3,Digital 4,00
1.801211250,Async 3,Digital 4,00
1.801298250,Async 3,Digital 4,00
1.801385000,Async 3,Digital 4,00
1.801472000,Async 3,Digital 4,00
1.801559000,Async 3,Digital 4,00
1.801646000,Async 3,Digital 4,00
