Time(seconds),Bus Name,Signal Name,Data
7.407978000,Async 5,Digital 5,00
7.408064000,Async 5,Digital 5,F2
7.408151000,Async 5,Digital 5,FF
7.408176000,Async 5,Digital 6,04
7.408298000,Async 5,Digital 6,13
7.408385000,Async 5,Digital 6,05
7.408471000,Async 5,Digital 6,01
7.408558000,Async 5,Digital 6,48
7.408645000,Async 5,Digital 6,00
7.408731000,Async 5,Digital 6,01
7.408818000,Async 5,Digital 6,00
7.464513000,Async 5,Digital 6,02
7.464599000,Async 5,Digital 6,48
7.464686000,Async 5,Digital 6,20
7.464773000,Async 5,Digital 6,0B
7.464859000,Async 5,Digital 6,00
7.464946000,Async 5,Digital 6,07
7.465033000,Async 5,Digital 6,00
7.465120000,Async 5,Digital 6,04
7.465206000,Async 5,Digital 6,00
7.465293000,Async 5,Digital 6,08
7.465380000,Async 5,Digital 6,0D
7.465466000,Async 5,Digital 6,00
7.465553000,Async 5,Digital 6,0F
7.465640000,Async 5,Digital 6,00
7.465727000,Async 5,Digital 6,03
7.465813000,Async 5,Digital 6,28
7.466075000,Async 5,Digital 5,02
7.466161000,Async 5,Digital 5,48
7.466248000,Async 5,Digital 5,00
7.466335000,Async 5,Digital 5,1B
7.466422000,Async 5,Digital 5,00
7.466508000,Async 5,Digital 5,17
7.466595000,Async 5,Digital 5,00
7.466682000,Async 5,Digital 5,04
7.466769000,Async 5,Digital 5,00
7.466855000,Async 5,Digital 5,09
7.466942000,Async 5,Digital 5,15
7.467029000,Async 5,Digital 5,0E
7.467116000,Async 5,Digital 5,00
7.467203000,Async 5,Digital 5,0A
7.467289000,Async 5,Digital 5,0F
7.467376000,Async 5,Digital 5,00
7.467463000,Async 5,Digital 5,FB
7.467550000,Async 5,Digital 5,34
7.467637000,Async 5,Digital 5,9B
7.467723000,Async 5,Digital 5,5F
7.467810000,Async 5,Digital 5,80
7.467897000,Async 5,Digital 5,00
7.467984000,Async 5,Digital 5,00
7.468070000,Async 5,Digital 5,80
7.468157000,Async 5,Digital 5,00
7.468244000,Async 5,Digital 5,10
7.468331000,Async 5,Digital 5,00
7.468418000,Async 5,Digital 5,00
7.468504000,Async 5,Digital 5,34
7.468591000,Async 5,Digital 5,12
7.468678000,Async 5,Digital 5,00
7.468765000,Async 5,Digital 5,00
7.468796000,Async 5,Digital 6,04
7.468926000,Async 5,Digital 6,13
7.469013000,Async 5,Digital 6,05
7.469100000,Async 5,Digital 6,01
7.469186000,Async 5,Digital 6,48
7.469273000,Async 5,Digital 6,00
7.469360000,Async 5,Digital 6,01
7.469446000,Async 5,Digital 6,00
7.524525000,Async 5,Digital 6,02
7.524612000,Async 5,Digital 6,48
7.524699000,Async 5,Digital 6,20
7.524785000,Async 5,Digital 6,0B
7.524872000,Async 5,Digital 6,00
7.524959000,Async 5,Digital 6,07
7.525046000,Async 5,Digital 6,00
7.525132000,Async 5,Digital 6,04
7.525219000,Async 5,Digital 6,00
7.525306000,Async 5,Digital 6,08
7.525392000,Async 5,Digital 6,0F
7.525479000,Async 5,Digital 6,00
7.525566000,Async 5,Digital 6,0F
7.525653000,Async 5,Digital 6,00
7.525739000,Async 5,Digital 6,03
7.525826000,Async 5,Digital 6,28
7.526077000,Async 5,Digital 5,02
7.526164000,Async 5,Digital 5,48
7.526250000,Async 5,Digital 5,00
7.526337000,Async 5,Digital 5,09
7.526424000,Async 5,Digital 5,00
7.526511000,Async 5,Digital 5,05
7.526597000,Async 5,Digital 5,00
7.526684000,Async 5,Digital 5,04
7.526771000,Async 5,Digital 5,00
7.526858000,Async 5,Digital 5,01
7.526945000,Async 5,Digital 5,08
7.527031000,Async 5,Digital 5,0F
7.527118000,Async 5,Digital 5,00
7.527205000,Async 5,Digital 5,0A
7.527231000,Async 5,Digital 6,04
7.527352000,Async 5,Digital 6,13
7.527439000,Async 5,Digital 6,05
7.527525000,Async 5,Digital 6,01
7.527612000,Async 5,Digital 6,48
7.527699000,Async 5,Digital 6,00
7.527786000,Async 5,Digital 6,01
7.527872000,Async 5,Digital 6,00
7.584547000,Async 5,Digital 6,02
7.584633000,Async 5,Digital 6,48
7.584720000,Async 5,Digital 6,20
7.584807000,Async 5,Digital 6,0B
7.584894000,Async 5,Digital 6,00
7.584980000,Async 5,Digital 6,07
7.585067000,Async 5,Digital 6,00
7.585154000,Async 5,Digital 6,04
7.585240000,Async 5,Digital 6,00
7.585327000,Async 5,Digital 6,08
7.585414000,Async 5,Digital 6,10
7.585500000,Async 5,Digital 6,00
7.585587000,Async 5,Digital 6,20
7.585674000,Async 5,Digital 6,00
7.585761000,Async 5,Digital 6,03
7.585847000,Async 5,Digital 6,28
7.586410000,Async 5,Digital 5,02
7.586497000,Async 5,Digital 5,48
7.586583000,Async 5,Digital 5,00
7.586670000,Async 5,Digital 5,3E
7.586757000,Async 5,Digital 5,00
7.586844000,Async 5,Digital 5,3A
7.586930000,Async 5,Digital 5,00
7.587017000,Async 5,Digital 5,04
7.587104000,Async 5,Digital 5,00
7.587191000,Async 5,Digital 5,09
7.587277000,Async 5,Digital 5,07
7.587364000,Async 5,Digital 5,11
7.587451000,Async 5,Digital 5,00
7.587538000,Async 5,Digital 5,02
7.587625000,Async 5,Digital 5,12
7.587711000,Async 5,Digital 5,00
7.587798000,Async 5,Digital 5,29
7.587885000,Async 5,Digital 5,2A
7.587972000,Async 5,Digital 5,13
7.588059000,Async 5,Digital 5,00
7.588145000,Async 5,Digital 5,02
7.588232000,Async 5,Digital 5,14
7.588319000,Async 5,Digital 5,00
7.588406000,Async 5,Digital 5,24
7.588492000,Async 5,Digital 5,2A
7.588579000,Async 5,Digital 5,15
7.588666000,Async 5,Digital 5,00
7.588753000,Async 5,Digital 5,02
7.588840000,Async 5,Digital 5,16
7.588926000,Async 5,Digital 5,00
7.589013000,Async 5,Digital 5,25
7.589100000,Async 5,Digital 5,2A
7.589187000,Async 5,Digital 5,17
7.589274000,Async 5,Digital 5,00
7.589360000,Async 5,Digital 5,02
7.589447000,Async 5,Digital 5,18
7.589534000,Async 5,Digital 5,00
7.589621000,Async 5,Digital 5,27
7.589708000,Async 5,Digital 5,2A
7.589794000,Async 5,Digital 5,19
7.589881000,Async 5,Digital 5,00
7.589968000,Async 5,Digital 5,02
7.590055000,Async 5,Digital 5,1A
7.590142000,Async 5,Digital 5,00
7.590228000,Async 5,Digital 5,26
7.590315000,Async 5,Digital 5,2A
7.590402000,Async 5,Digital 5,1B
7.590489000,Async 5,Digital 5,00
7.590576000,Async 5,Digital 5,02
7.590662000,Async 5,Digital 5,1C
7.590749000,Async 5,Digital 5,00
7.590836000,Async 5,Digital 5,28
7.590923000,Async 5,Digital 5,2A
7.591010000,Async 5,Digital 5,1D
7.591096000,Async 5,Digital 5,00
7.591183000,Async 5,Digital 5,02
7.591270000,Async 5,Digital 5,1E
7.591357000,Async 5,Digital 5,00
7.591444000,Async 5,Digital 5,23
7.591531000,Async 5,Digital 5,2A
7.591617000,Async 5,Digital 5,1F
7.591704000,Async 5,Digital 5,00
7.591791000,Async 5,Digital 5,02
7.591878000,Async 5,Digital 5,20
7.591965000,Async 5,Digital 5,00
7.592052000,Async 5,Digital 5,2A
7.592139000,Async 5,Digital 5,2A
7.592169000,Async 5,Digital 6,04
7.592290000,Async 5,Digital 6,13
7.592377000,Async 5,Digital 6,05
7.592463000,Async 5,Digital 6,01
7.592550000,Async 5,Digital 6,48
7.592637000,Async 5,Digital 6,00
7.592724000,Async 5,Digital 6,01
7.592810000,Async 5,Digital 6,00
7.674561000,Async 5,Digital 6,02
7.674648000,Async 5,Digital 6,48
7.674735000,Async 5,Digital 6,20
7.674822000,Async 5,Digital 6,0B
7.674908000,Async 5,Digital 6,00
7.674995000,Async 5,Digital 6,07
7.675082000,Async 5,Digital 6,00
7.675168000,Async 5,Digital 6,04
7.675255000,Async 5,Digital 6,00
7.675342000,Async 5,Digital 6,08
7.675428000,Async 5,Digital 6,20
7.675515000,Async 5,Digital 6,00
7.675602000,Async 5,Digital 6,20
7.675689000,Async 5,Digital 6,00
7.675775000,Async 5,Digital 6,03
7.675862000,Async 5,Digital 6,28
7.676356000,Async 5,Digital 5,02
7.676443000,Async 5,Digital 5,48
7.676530000,Async 5,Digital 5,00
7.676617000,Async 5,Digital 5,09
7.676704000,Async 5,Digital 5,00
7.676791000,Async 5,Digital 5,05
7.676878000,Async 5,Digital 5,00
7.676964000,Async 5,Digital 5,04
7.677051000,Async 5,Digital 5,00
7.677138000,Async 5,Digital 5,01
7.677225000,Async 5,Digital 5,08
7.677312000,Async 5,Digital 5,20
7.677399000,Async 5,Digital 5,00
7.677485000,Async 5,Digital 5,0A
7.677510000,Async 5,Digital 6,04
7.677657000,Async 5,Digital 6,13
7.677744000,Async 5,Digital 6,05
7.677830000,Async 5,Digital 6,01
7.677917000,Async 5,Digital 6,48
7.678004000,Async 5,Digital 6,00
7.678091000,Async 5,Digital 6,01
7.678177000,Async 5,Digital 6,00
7.734583000,Async 5,Digital 6,02
7.734669000,Async 5,Digital 6,48
7.734756000,Async 5,Digital 6,20
7.734843000,Async 5,Digital 6,0B
7.734930000,Async 5,Digital 6,00
7.735016000,Async 5,Digital 6,07
7.735103000,Async 5,Digital 6,00
7.735190000,Async 5,Digital 6,04
7.735276000,Async 5,Digital 6,00
7.735363000,Async 5,Digital 6,08
7.735450000,Async 5,Digital 6,21
7.735537000,Async 5,Digital 6,00
7.735623000,Async 5,Digital 6,2D
7.735710000,Async 5,Digital 6,00
7.735797000,Async 5,Digital 6,03
7.735883000,Async 5,Digital 6,28
7.736430000,Async 5,Digital 5,02
7.736517000,Async 5,Digital 5,48
7.736603000,Async 5,Digital 5,00
7.736690000,Async 5,Digital 5,30
7.736777000,Async 5,Digital 5,00
7.736864000,Async 5,Digital 5,2C
7.736951000,Async 5,Digital 5,00
7.737038000,Async 5,Digital 5,04
7.737125000,Async 5,Digital 5,00
7.737211000,Async 5,Digital 5,09
7.737298000,Async 5,Digital 5,15
7.737385000,Async 5,Digital 5,22
7.737472000,Async 5,Digital 5,00
7.737559000,Async 5,Digital 5,0A
7.737646000,Async 5,Digital 5,23
7.737732000,Async 5,Digital 5,00
7.737819000,Async 5,Digital 5,FE
7.737906000,Async 5,Digital 5,69
7.737993000,Async 5,Digital 5,CA
7.738080000,Async 5,Digital 5,9A
7.738167000,Async 5,Digital 5,56
7.738253000,Async 5,Digital 5,19
7.738340000,Async 5,Digital 5,F6
7.738427000,Async 5,Digital 5,AB
7.738514000,Async 5,Digital 5,02
